,reef_id,average_bleaching,clim_sst,latitude,longitude,year,yellowfin_tuna_sum_effort,yellowfin_tuna_rate_norm,mackerel_sum_effort,mackerel_rate_norm,skipjack_tuna_sum_effort,skipjack_tuna_rate_norm
59,123.16.20.7E.09.04.16.2N,0.5,302.13,9.071166667,123.2724167,2003,163.2165868,0.403898901,163.2165868,0.001262127,163.2165868,0.034078032
60,123.31.15E.05.17.59S,0.25,300.31,-5.299722222,123.5208333,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
61,123.31.15E.05.17.59S,0,300.31,-5.299722222,123.5208333,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
62,123.31.3E.05.16.14E,0,300.02,-5.270555556,123.5175,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
63,123.31.3E.05.16.14E,0,300.45,-5.270555556,123.5175,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
64,123.31.3E.05.16.14E,0,300.45,-5.270555556,123.5175,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
65,123.33.25E.05.14.23S,0,301.29,-5.239722222,123.5569444,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
66,123.33.25E.05.14.23S,0,301.29,-5.239722222,123.5569444,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
67,123.35.715E.5.25.718S,0,300.03,-5.428611111,123.59525,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
68,123.35.715E.5.25.718S,0,300.03,-5.428611111,123.59525,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
69,123.42.1E.05.30.7S,0,262.15,-5.501944444,123.7002778,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
70,123.42.1E.05.30.7S,0,262.15,-5.501944444,123.7002778,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
71,123.42.412E.5.27.432S,0.5,300.11,-5.457194444,123.7068611,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
72,123.42.412E.5.27.432S,0.5,300.11,-5.457194444,123.7068611,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
73,123.43.212E.5.28.161S,1.75,300.06,-5.469361111,123.7201944,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
74,123.43.27E.05.28.16S,0,300.31,-5.471111111,123.7241667,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
75,123.43.27E.05.28.16S,0,300.31,-5.471111111,123.7241667,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
76,123.43.384E.5.53.607S,0,300.23,-5.893444444,123.7230556,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
77,123.44.57E.05.28.58S,0,299.99,-5.482777778,123.7491667,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
78,123.44.57E.05.28.58S,0,299.99,-5.482777778,123.7491667,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
79,123.44.651E.5.32.928S,0,262.15,-5.548805556,123.7441667,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
80,123.44.651E.5.32.928S,0,262.15,-5.548805556,123.7441667,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
81,123.44.95E.5.28.975S,3.75,300.06,-5.482916667,123.7491667,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
82,123.45.18E.05.57.56S,0,299.72,-5.965555556,123.755,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
83,123.45.18E.05.57.56S,0,299.72,-5.965555556,123.755,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
84,123.45.23E.05.26.34N,0,299.84,-5.442777778,123.7563889,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
85,123.45.23E.05.26.34N,1,299.84,-5.442777778,123.7563889,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
86,123.45.25E.5.27.19S,0,299.87,-5.453166667,123.7541667,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
87,123.45.37E.05.28.24S,0,300.84,-5.473333333,123.7602778,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
88,123.45.37E.05.28.24S,0,300.84,-5.473333333,123.7602778,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
89,123.45.47E.05.34.7S,0,262.15,-5.568611111,123.7630556,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
90,123.45.47E.05.34.7S,0,262.15,-5.568611111,123.7630556,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
91,123.45.57E.05.46.22S,0,301.09,-5.772777778,123.7658333,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
92,123.45.57E.05.46.22S,0,301.09,-5.772777778,123.7658333,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
93,123.50.23E.05.52.28S,0,300.96,-5.874444444,123.8397222,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
94,123.50.23E.05.52.28S,0,300.96,-5.874444444,123.8397222,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
95,123.53.529E.5.43.992S,0,299.99,-5.733194444,123.8921389,2003,163.2165868,0.418588584,163.2165868,0.001031758,163.2165868,0.031924451
96,98.14.4.4E.8.39.45.6N,0.5,301.71,8.662666667,98.23455556,2003,163.2165868,0.246917919,163.2165868,0.000419688,163.2165868,0.186771459
97,9N123E1,0,302.13,9.071111111,123.27125,2003,163.2165868,0.403898901,163.2165868,0.001262127,163.2165868,0.034078032
98,NSHogaBuoy3,0,299.99,-5.473333333,123.7575,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
99,NSHogaBuoy3,0,299.99,-5.473333333,123.7575,2003,163.2165868,0.276597501,163.2165868,0.001031758,163.2165868,0.031312994
100,119.37.24.5E.0.5.6.8N,0,302.28,0.085222222,119.6234722,2002,153.6345263,0.004286146,153.6345263,3.65E-05,153.6345263,0.000220654
101,124.52.514E.1.37.603N,0,302.38,1.626722222,124.8752222,2002,153.6345263,0.390020404,153.6345263,1.69E-05,153.6345263,0.034209758
